Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Aruba,ABW,Urban population,SP.URB.TOTL,27525,28139,28537,28763,28922,29080,29246,29411,29570,29742,29904,30083,30279,30466,30604,30659,30615,30495,30353,30278,30332,30557,30941,31372,31671,31761,31561,31145,30750,30721,31274,32508,34119,35949,37721,39172,40238,40970,41489,41947,42450,43045,43670,44245,44672,44888,44880,44688,44379,44051,43776,43820,44059,44351,44666,44978,45293,45614,45949,46294,46654,
Africa Eastern and Southern,AFE,Urban population,SP.URB.TOTL,19239140,20049454,20897622,21807831,22780115,23806156,24889120,26027808,27231613,28510477,29827617,31226835,32720733,34281989,35896602,37607945,39417943,41331233,43341045,45361426,47381924,49487953,51682559,54036272,56600804,59379673,62373875,65511328,68810262,72248141,75915921,79628062,83534720,87500260,91263650,94986520,98733565,102499055,106267351,110125774,114136170,118377760,122850151,127487552,132320448,137425436,142683199,147820966,153891037,160244637,166912605,173901249,181061819,188513993,196270604,204322110,212669776,221319466,230276235,239539517,249112475,
Afghanistan,AFG,Urban population,SP.URB.TOTL,755835,796271,839385,885227,934134,986074,1041191,1099273,1161355,1228273,1300949,1379464,1463291,1551037,1640869,1730929,1821611,1912077,1997578,2070936,2136372,2181493,2208965,2225071,2241321,2267901,2305807,2357346,2439549,2502908,2628555,2828169,3093388,3391712,3677087,3916250,4093837,4220821,4321585,4434762,4587799,4790054,5031158,5293385,5563505,5824290,6055021,6263748,6464836,6680730,6927765,7212518,7528589,7865068,8204880,8535606,8852834,9164768,9476982,9797274,10131490,
Africa Western and Central,AFW,Urban population,SP.URB.TOTL,14141671,14813809,15527606,16290977,17102150,17961784,18832309,19752609,20725919,21755557,22830490,24042328,25329419,26690752,28135375,29667110,31304229,32974833,34728830,36435847,38220116,40278806,42440898,44698120,47077237,49617207,52240354,54942267,57714623,60549192,63490907,66189690,68849602,71585803,74419165,77372831,80449684,83737431,87173656,90758152,94468306,98667898,103035908,107608667,112398933,117415817,122676606,128156920,133856733,139777233,145922388,152273428,158838089,165607296,172602709,179836016,187305752,195016097,202961117,211133789,219531155,
Angola,AGO,Urban population,SP.URB.TOTL,569223,597286,628376,660175,691526,721552,749546,776142,804151,837819,881021,944366,1028267,1124680,1230751,1343550,1462623,1588731,1723475,1868837,2026767,2197878,2382565,2581261,2794529,3022269,3265594,3525100,3801101,4092909,4400964,4725626,5067881,5427582,5806614,6159458,6530151,6918999,7328065,7758424,8212003,8688765,9190862,9721266,10284524,10882818,11437892,12025599,12644651,13291077,13963065,14660281,15383123,16130308,16900844,17691524,18502164,19332895,20184724,21061028,21962884,
Albania,ALB,Urban population,SP.URB.TOTL,493982,513592,530766,547928,565248,582374,599300,616687,635924,656733,677801,698647,720649,742333,764166,786668,809052,832109,854618,876974,902120,927513,954645,982645,1011235,1040127,1068501,1098349,1127722,1167160,1197222,1198912,1209490,1219882,1230218,1240399,1250518,1260414,1270214,1279853,1289391,1298584,1327220,1354848,1381828,1407298,1430886,1452398,1473392,1495260,1519519,1546929,1575788,1603505,1630119,1654503,1680247,1706345,1728969,1747593,1762579,
Andorra,AND,Urban population,SP.URB.TOTL,7838,8768,9760,10808,11913,13062,14262,15495,16762,18079,19458,20912,22395,23917,25392,26791,28090,29302,30497,31780,33201,34798,36562,38439,40421,42434,44345,46122,47925,49762,51626,53566,55540,57383,58846,59812,60131,59932,59603,59647,60417,61994,64193,66745,69198,71209,72739,73842,74639,75096,75011,74306,73056,71511,70057,68903,68211,67873,67815,67876,67928,
Arab World,ARB,Urban population,SP.URB.TOTL,28797167,30292838,31856706,33513054,35275352,37163923,39098510,41001095,42996401,45072699,47229279,49429097,51727556,54115424,56549739,59099791,61785181,64577345,67503323,70549318,73737081,77054758,80484020,84070461,87839719,91672509,95591260,99470785,103272583,107044138,112206715,116156921,118292240,122375841,126184143,131351768,134842548,138406842,142044209,145772435,149612191,153594287,157691929,162002776,166570987,171562822,176916080,182152309,188077327,194146202,200303097,206243657,212084938,217948565,223788436,229821029,235741356,241572841,247404481,253306244,259344908,
United Arab Emirates,ARE,Urban population,SP.URB.TOTL,67926,74979,84362,95215,106186,116472,125596,134578,145731,162076,187141,221415,264112,314911,373031,437539,509722,589057,670980,750154,822844,884771,937281,985800,1035512,1090254,1151670,1218877,1290899,1366666,1445398,1528535,1616858,1708388,1800329,1891481,1993032,2108719,2233073,2367188,2514650,2663810,2820134,3024184,3330985,3774363,4380486,5121561,5911710,6630162,7189437,7553138,7747413,7824292,7866608,7935894,8047162,8182525,8332904,8479742,8609395,
Argentina,ARG,Urban population,SP.URB.TOTL,15076844,15449953,15815495,16183088,16552518,16923099,17295211,17669090,18048312,18436398,18836989,19242929,19659179,20084769,20514215,20943259,21370520,21797025,22227668,22668008,23122598,23609666,24118027,24636890,25163829,25695324,26230730,26769634,27309076,27844466,28373005,28887231,29352237,29809445,30260588,30705906,31145813,31579653,32009558,32438320,32867365,33297960,33728928,34159484,34588884,35015688,35439468,35861117,36284568,36714243,37055902,37543830,38027774,38509756,38990109,39467043,39940546,40410674,40877099,41339571,41796990,
